2022-03-27 18:38:22,297 INFO [root] [test_add_goods.py(<module>:8)] - 1122
2022-03-27 18:38:25,152 INFO [root] [HomeLoginPage.py(find_username:32)] - 定位
2022-03-27 18:38:40,262 INFO [root] [GoodsDetailsPage.py(find_goods_size:39)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 18:59:03,614 INFO [root] [GoodsDetailsPage.py(find_goods_size:39)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:03:59,715 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:09:48,983 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:12:36,022 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:15:07,620 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:22:25,468 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:23:34,111 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:28:06,424 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:36:20,130 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:38:21,075 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:45:49,124 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:47:13,281 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 19:58:24,003 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:06:54,474 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:09:19,580 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:10:41,006 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:13:35,691 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:16:35,785 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:17:48,050 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:19:38,718 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 20:23:36,979 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 21:22:07,381 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 21:25:11,691 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 21:26:28,339 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 21:34:57,909 INFO [root] [GoodsDetailsPage.py(find_goods_size:40)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:04:21,122 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:06:45,310 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:06:58,649 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:07:28,470 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:09:55,907 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:11:49,571 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:12:15,366 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:14:32,828 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:17:44,122 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:37:51,295 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:43:42,725 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:45:57,764 INFO [root] [GoodsDetailsPage.py(find_goods_size:42)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:49:58,059 INFO [root] [GoodsDetailsPage.py(find_goods_size:45)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:56:33,025 INFO [root] [GoodsDetailsPage.py(find_goods_size:45)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 22:58:11,610 INFO [root] [GoodsDetailsPage.py(find_goods_size:45)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
2022-03-27 23:05:06,422 INFO [root] [GoodsDetailsPage.py(find_goods_size:49)] - 定位商品尺寸，定位元素('xpath', "//span[text()='尺寸：']/../../li[2]/a")
